Generator,Architecture,Weight,Category,IsAdvanced,IsFake,Image_path,Num
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/0000bc251bd2e98239266f18c7422f00.jpg,1
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/001f5052a8976abf8628979c0a3295fd.jpg,2
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/003a4c6ab6f2b3ab9658a92b5f05945e.jpg,3
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/0043fbaa145d5c0a2a40d46645ed83cb.jpg,4
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/00470ad00ea26cb498a51499f937e52b.jpg,5
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/0052d17a5ef60d0d179717f85046f4b1.jpg,6
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/009bbc62119d37a8fbb83bb9e0dbc508.jpg,7
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/00c573bb9bc5a7eb21bc3be7ae501662.jpg,8
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/00d38429f2b27b0c1704ee2e62d7a990.jpg,9
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/00d73c1e7e3b3890737927fc56ce6e63.jpg,10
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/00fcdf259a2e197eea470d5df3473c65.jpg,11
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/01007fafc81c71ac48435ee0c7d4f2e3.jpg,12
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/010d7366d58b4b5c787bcad069c1730b.jpg,13
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/012bdc65f98678a9d2f300d3828985c2.jpg,14
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/01427a315cdbac9741097790f78aa0fe.jpg,15
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/01686507673b71e4d1fae61f9f3f305b.jpg,16
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/0199b3d7eac3efb5e6a57ec8044c6f87.jpg,17
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/019e486743b8e231bc299da988d9e6c8.jpg,18
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/01ba9ec6bf20f7713b2367189281182e.jpg,19
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/021108a4d05cd0b11e99b0138260665a.jpg,20
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/0256205126a50f7e83488b229ad926b8.jpg,21
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/028f173ecc8a7a865659c2d0bfb76cc0.jpg,22
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/02c359a2bd6af2a45834b8ea3c86f63d.jpg,23
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/02c38b86651eb0b1d5b9f61262d508ee.jpg,24
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/02e9dfc8287798fdac01d4461933d577.jpg,25
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/0304eaaaac6b68aec926d8544f214c81.jpg,26
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/03086a843653df9b1ab5e57e5ecc2eff.jpg,27
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/031844ca3fc6976c3f7e27610993b1dc.jpg,28
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/032adbac54f2e53fbefb58dfa5c05d73.jpg,29
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/033447efc58758adfcae16ba3835f106.jpg,30
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/03aa56112f102b4497c1067d89d3de75.jpg,31
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/042346a5a0950c816b3eec5a543462c5.jpg,32
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/044f4f988518587886dc78b7d1da2b45.jpg,33
Diffusion_based,DALLE,DALLE,DALLE,1,1,./Diffusion_based/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/04b89f4920d9cd392bb6521250256fb3.jpg,34
